Name,X,Y,Angle,Value,Package
C1,53.62,17.36,0.00,1uf,CAPC1608X85
C2,33.01,25.16,180.00,10uf,CAPC1608X85
C3,10.23,6.40,90.00,0.1uf,CAPC1608X85
C4,30.78,28.83,270.00,10uf,CAPC1608X85
C8,29.20,24.50,90.00,1uf,CAPC1608X85
C9,24.70,32.70,0.00,2.2uf,CAPC1608X85
CN1_NEO,16.69,6.50,270.00,S3B-PH-SM4-TB_LF__SN_,S3B-PH-SM4-TB
CN2_BAT,32.55,36.91,0.00,S2B-PH-SM4-TB_LF__SN_,S2BPHSM4TBLFSN
D1,7.20,14.60,90.00,"PMEG2020AEA,115",SOD2512X110N
D2,22.70,21.00,180.00,1A/23V/620mV,SOD-323
D3,10.20,14.60,90.00,"PMEG2020AEA,115",SOD2512X110N
IC1,55.28,32.33,0.00,ESP32-S3-WROOM-1-N8R8,ESP32S3WROOM1N8R8
IC2,34.81,28.87,180.00,IC_LIPO_CHARGER,SOT23-5
IC3,25.40,29.30,0.00,3.3V,SOT23-5
LED1,64.10,12.90,90.00,LTST-C170KFKT,LEDC2012X120N
LED_CHARGE,39.40,40.29,270.00,LTST-C170TBKT,LEDC2012X120N
LED_DONE,42.98,40.29,270.00,LTST-C170KFKT,LEDC2012X120N
MICROSD_READER,12.12,38.71,180.00,HYC39-TF08-180,HYC39TF08180
Q1,22.50,24.75,0.00,20V/4.2A/52mΩ/1.4W,SOT23-3
Q2,47.50,7.20,180.00,AO3406-HT,SOT95P280X125-3N
R1,53.57,19.19,180.00,5.1K,RESC1608X60
R15,22.30,18.40,180.00,10K,RESC1608X60
R16,26.40,24.50,270.00,10K,RESC1608X60
R2,38.12,28.03,270.00,2.0k,RESC1608X60
R3,39.38,36.65,0.00,"470 Ohm",RESC1608X60
R4,7.41,3.10,0.00,"470 Ohm",RESC1608X60
R5,13.12,28.73,180.00,10K,RESC1608X60
R6,61.33,12.94,90.00,"470 Ohm",RESC1608X60
R7,42.90,36.69,0.00,"470 Ohm",RESC1608X60
R8,50.80,7.10,270.00,10K,RESC1608X60
R9,54.04,7.41,0.00,560K,RESC1608X60
S1_BOOT,61.84,18.48,180.00,KMR221NGLFS,KMR221NGLFS
S2_RESET,48.12,18.48,0.00,KMR221NGLFS,KMR221NGLFS
USB_MICRO,32.55,18.90,0.00,10118192-0001LF,10118192-0001LF
